Tm,Player,Pos,G,GS,MP,FG,FGA,FGPercent,3P,3PA,2P,2PA,2PPercent,eFGPercent,FT,FTA,FTPercent,ORB,DRB,TRB,AST,STL,BLK,PTS,TOV,PF
MIA,MichaelBeasley,SF,-0.861072479,-0.775085867,0.157592598,0.444668341,0.498438317,0.076871636,-0.505812521,-0.268835323,0.68969858,0.735540018,0.124400256,-0.177344366,-0.416343994,-0.438209043,0.359566061,-0.445193803,0.420748415,0.149979828,-0.289364876,-0.077304326,0.336930092,0.188282971,0.470793927,1.515290956
SAS,MarcoBelinelli,SG,0.628939481,-0.466591622,0.310945037,0.138287226,0.213637254,-0.030038013,1.17109649,1.047042838,-0.285252778,-0.266869176,0.11516177,0.421398695,0.073192322,-0.110909723,0.743650365,-0.570711848,-0.240863223,-0.36434959,-0.176834091,-0.310290974,-0.837274886,0.263411512,-0.173356654,-0.391690786
UTA,JerrelleBenimon,PF,-1.723710983,-0.813647648,-1.9783878,-1.495745386,-1.590102813,-4.141199987,-0.963151343,-1.069804639,-1.317554216,-1.38383942,-4.236165043,-4.552031565,-1.069059083,-1.158267545,-3.379178627,-0.445193803,-0.902474862,-0.792957439,-1.020814978,-1.475224218,-0.837274886,-1.464544926,-0.817507236,-2.298672528
MIN,AnthonyBennett,PF,0.432885276,-0.697962306,-0.42295592,-0.372347965,-0.355964872,-0.049476132,-0.810705069,-0.840956263,-0.113202539,-0.009106812,-0.254377662,-0.370487288,-0.49793338,-0.438209043,-0.26274775,0.056878377,0.240308877,0.192840613,-0.570691838,-0.310290974,-0.132751899,-0.487873896,-0.688677119,-0.255477804
HOU,PatrickBeverley,PG,0.393674435,1.307250287,1.23105967,0.342541303,0.664572271,-0.418800375,2.238220407,2.248496812,-0.399952938,-0.324149701,-0.300570091,0.199284334,-0.416343994,-0.438209043,0.267191355,0.433432512,0.30045539,0.364283752,0.892208367,1.087628917,0.102089096,0.432450729,0.470793927,2.196355864
SAC,SimBhullar,C,-1.684500142,-0.813647648,-2.033156528,-1.342554829,-1.423968859,0.718329532,-0.963151343,-1.069804639,-1.145503976,-1.183357581,0.383077858,0.276541503,-1.069059083,-1.158267545,-3.379178627,-1.072784028,-1.32350045,-1.307286857,-0.852018801,-1.475224218,-0.132751899,-1.33306998,-1.461657817,-2.298672528
CHO,BismackBiyombo,C,0.707361164,-0.003850255,-0.017667332,-0.67872908,-0.901833577,1.136249071,-0.963151343,-1.069804639,-0.399952938,-0.553271802,0.780332748,0.691798787,0.236371094,0.609148779,-0.544733695,2.065167096,0.841774003,1.307221019,-0.852018801,-0.776264272,2.685340047,-0.563002437,-0.431016887,0.698013067
TOT,TarikBlack,C,0.668150323,0.690261797,-0.061482314,-0.219157408,-0.56956567,1.44725896,-0.963151343,-1.069804639,0.116197781,-0.152308125,1.094441265,1.000827463,-0.253165222,0.085469868,-0.700312147,1.814131006,0.661334466,1.05005631,-0.626957231,-0.776264272,0.102089096,-0.337616814,-0.431016887,1.106652012
HOU,TarikBlack,C,-0.821861638,-0.35090628,-0.42295592,-0.576602042,-0.806899889,1.126530012,-0.963151343,-1.069804639,-0.285252778,-0.438710752,0.835763663,0.68214164,-0.579522766,-0.372749179,-0.865614253,1.814131006,0.180162365,0.750030816,-0.852018801,-1.00925092,-0.60243389,-0.675695248,-0.431016887,0.698013067
LAL,TarikBlack,C,-0.312120704,0.227520429,0.168546344,-0.014903331,-0.403431716,1.583325787,-0.963151343,-1.069804639,0.3455981,0.048173714,1.205303095,1.136027509,-0.008397064,0.347309324,-0.646832054,1.688612961,0.962067029,1.264360234,-0.514426446,-0.776264272,0.571771087,-0.112231192,-0.431016887,1.379077975
WAS,DeJuanBlair,PF,-0.665018274,-0.813647648,-1.463561755,-1.036173714,-1.115434374,0.290690935,-0.963151343,-1.069804639,-0.801403497,-0.811034166,-0.023415517,-0.148372927,-0.987469697,-1.027347817,-0.136340257,-0.319675758,-0.661888811,-0.6215143,-0.964549585,-1.00925092,-0.837274886,-1.107684358,-0.946337352,-0.391690786
POR,SteveBlake,PG,1.373945462,-0.813647648,-0.07243606,-0.729792599,-0.640765935,-0.515990965,0.561311395,0.474921898,-0.973453737,-1.011516005,-0.383716463,0.189627187,-0.742701539,-0.830968226,0.058132809,-0.821747938,-0.601742299,-0.707235869,1.004739152,-0.310290974,-0.60243389,-0.656913113,0.213133695,-0.255477804
PHO,EricBledsoe,PG,1.373945462,2.309856583,1.647302004,1.465938724,1.471508617,0.203219403,0.713757669,0.875406556,1.377899538,1.365625797,0.299931486,0.170312895,2.520873903,2.376565103,0.510282687,0.056878377,1.082360054,0.792891601,2.411373964,2.252562161,0.571771087,1.728418058,2.918566137,0.834226049
