Tm,Player,Pos,G,GS,MP,FG,FGA,FGPercent,3P,3PA,2P,2PA,2PPercent,eFGPercent,FT,FTA,FTPercent,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
SAS,JeffAyres,PF,51,0,7.5,1.1,1.9,0.579,0,0,1.1,1.9,0.579,0.579,0.5,0.7,0.75,0.7,1.6,2.3,0.3,0.2,0.2,0.5,1.2,2.7
NOP,LukeBabbitt,SF,63,19,13.2,1.5,3,0.479,0.9,1.8,0.5,1.2,0.429,0.633,0.2,0.3,0.684,0.2,1.6,1.8,0.4,0.3,0.2,0.4,1,4.1
CHI,CameronBairstow,PF,18,1,3.6,0.2,0.8,0.214,0,0,0.2,0.8,0.214,0.214,0.2,0.3,0.8,0.3,0.1,0.4,0.1,0.1,0.1,0.2,0.4,0.6
GSW,LeandroBarbosa,SG,66,1,14.9,2.8,5.8,0.474,0.7,1.7,2.1,4.2,0.511,0.53,0.9,1.1,0.784,0.3,1,1.4,1.5,0.6,0.1,0.7,1.3,7.1
DAL,J.J.Barea,PG,77,10,17.7,2.9,7,0.42,0.7,2.2,2.2,4.8,0.463,0.47,1,1.2,0.809,0.3,1.4,1.7,3.4,0.4,0,0.9,1.4,7.5
NYK,AndreaBargnani,C,29,22,27.1,5.7,12.4,0.454,0.5,1.4,5.1,11,0.466,0.475,3,3.7,0.813,1.1,3.3,4.4,1.6,0.1,0.9,1.4,1.8,14.8
GSW,HarrisonBarnes,SF,82,82,28.3,3.9,8,0.482,1.1,2.6,2.8,5.4,0.519,0.548,1.3,1.8,0.72,1.4,4.1,5.5,1.4,0.7,0.2,0.9,1.8,10.1
LAC,MattBarnes,SF,76,74,29.9,3.6,8.2,0.444,1.8,4.9,1.9,3.3,0.569,0.553,1,1.3,0.779,0.7,3.3,4,1.5,0.9,0.7,1.1,3.2,10.1
PHO,EarlBarron,C,16,1,8.9,0.8,2.4,0.308,0.1,0.3,0.6,2.2,0.286,0.333,0.4,0.8,0.5,0.9,0.9,1.8,0.3,0.3,0.1,0.3,1.6,2
TOT,WillBarton,SG,58,0,16.9,2.6,6.1,0.425,0.4,1.5,2.2,4.6,0.474,0.458,1.3,1.6,0.787,0.4,2.3,2.8,1.4,0.8,0.3,1.1,1.2,6.8
POR,WillBarton,SG,30,0,10,1.3,3.3,0.38,0.1,0.6,1.1,2.7,0.415,0.4,0.3,0.5,0.667,0.1,1,1.1,0.9,0.5,0.1,0.6,0.7,3
DEN,WillBarton,SG,28,0,24.4,4,9,0.443,0.7,2.4,3.3,6.6,0.5,0.48,2.3,2.8,0.81,0.8,3.8,4.6,1.9,1.2,0.5,1.6,1.8,11
BOS,BrandonBass,PF,82,43,23.5,4.2,8.3,0.504,0.1,0.4,4.1,7.9,0.515,0.51,2.1,2.6,0.79,1.7,3.2,4.9,1.3,0.5,0.4,1,1.7,10.6
POR,NicolasBatum,SF,71,71,33.5,3.4,8.5,0.4,1.4,4.4,2,4.1,0.481,0.483,1.2,1.4,0.857,0.9,5,5.9,4.8,1.1,0.6,1.9,1.5,9.4
MIL,JerrydBayless,PG,77,4,22.3,2.9,6.7,0.426,0.5,1.6,2.4,5.1,0.462,0.462,1.6,1.8,0.883,0.3,2.5,2.7,3,0.8,0.2,1.7,2.1,7.8
SAS,AronBaynes,C,70,17,16,2.6,4.7,0.566,0,0.1,2.6,4.6,0.57,0.567,1.3,1.5,0.865,1.6,3,4.5,0.5,0.2,0.3,0.9,2.3,6.6
ATL,KentBazemore,SG,75,10,17.7,1.9,4.4,0.426,0.6,1.8,1.2,2.7,0.467,0.498,0.8,1.3,0.6,0.3,2.7,3,1,0.7,0.4,1,1.7,5.2
WAS,BradleyBeal,SG,63,59,33.4,5.8,13.5,0.427,1.7,4.1,4.1,9.4,0.434,0.489,2.1,2.6,0.783,0.9,2.9,3.8,3.1,1.2,0.3,2,2.2,15.3
MIA,MichaelBeasley,SF,24,1,21,3.8,8.8,0.434,0.3,1.4,3.5,7.4,0.472,0.453,0.8,1.1,0.769,0.5,3.2,3.7,1.3,0.6,0.5,1.5,2.8,8.8
SAS,MarcoBelinelli,SG,62,9,22.4,3.2,7.6,0.423,1.4,3.7,1.8,3.9,0.471,0.515,1.4,1.6,0.848,0.4,2.1,2.5,1.5,0.5,0,1,1.4,9.2
UTA,JerrelleBenimon,PF,2,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,1.5,0,0,0,0.5,0,0
