Rank,Newsweek Green Score,GICS Sector,Energy Productivity,Carbon Productivity,Water Productivity,Waste Productivity,Green Revenue,!Rank,!Newsweek Green Score,!GICS Sector,!Energy Productivity,!Carbon Productivity,!Water Productivity,!Waste Productivity,!Green Revenue
383,0.15,Financials,0,0,0,0,0.15,,,,,,,,
394,0.14,Financials,0,0,0,0,0.14,,,,,,,,
394,0.14,Financials,0,0,0,0,0.14,,,,,,,,
402,0.13,Financials,0,0,0,0,0.13,,,,,,,,
479,0.05,Financials,0,0,0,0,0.05,,,,,,,,
143,0.47,Financials,0.13,0.12,0,0,0.08,,,,,,,,
428,0.1,Financials,0,0,0,0,0.1,,,,,,,,
1,0.89,Health Care,0.14,0.14,0.13,0.11,0.17,,,,,,,,
21,0.7,Health Care,0.08,0.09,0.08,0.08,0.17,,,,,,,,
153,0.45,Health Care,0,0.02,0.11,0,0.17,,,,,,,,
322,0.22,Health Care,0,0,0,0,0.17,,,,,,,,
355,0.17,Health Care,0,0,0,0,0.17,,,,,,,,
355,0.17,Health Care,0,0,0,0,0.17,,,,,,,,
355,0.17,Health Care,0,0,0,0,0.17,,,,,,,,
355,0.17,Health Care,0,0,0,0,0.17,,,,,,,,
355,0.17,Health Care,0,0,0,0,0.17,,,,,,,,
355,0.17,Health Care,0,0,0,0,0.17,,,,,,,,
29,0.67,Health Care,0.06,0.07,0.09,0.1,0.15,,,,,,,,
50,0.62,Health Care,0.11,0.13,0.1,0.09,0.15,,,,,,,,
106,0.54,Health Care,0.09,0.08,0.11,0.06,0.15,,,,,,,,
151,0.45,Health Care,0.01,0.04,0.01,0.05,0.14,,,,,,,,
169,0.42,Health Care,0.12,0.07,0.08,0,0.15,,,,,,,,
209,0.38,Health Care,0.02,0.04,0.03,0.01,0.14,,,,,,,,
218,0.37,Health Care,0.02,0.01,0.02,0.03,0.14,,,,,,,,
240,0.35,Health Care,0,0.1,0,0,0.15,,,,,,,,
259,0.31,Health Care,0,0.04,0,0,0.12,,,,,,,,
304,0.25,Health Care,0,0.1,0,0,0.15,,,,,,,,
383,0.15,Health Care,0,0,0,0,0.15,,,,,,,,
383,0.15,Health Care,0,0,0,0,0.15,,,,,,,,
414,0.12,Health Care,0,0,0,0,0.12,,,,,,,,
11,0.75,Health Care,0.13,0.13,0.13,0.11,0.14,,,,,,,,
25,0.68,Health Care,0.07,0.07,0.09,0.11,0.14,,,,,,,,
88,0.55,Health Care,0.1,0.06,0,0.1,0.14,,,,,,,,
180,0.41,Health Care,0.09,0.12,0,0,0.14,,,,,,,,
191,0.4,Health Care,0.06,0.1,0,0,0.14,,,,,,,,
195,0.4,Health Care,0.01,0.04,0.04,0.02,0.14,,,,,,,,
258,0.32,Health Care,0,0.08,0,0,0.14,,,,,,,,
278,0.29,Health Care,0.06,0.04,0,0,0.14,,,,,,,,
296,0.26,Health Care,0,0.12,0,0,0.14,,,,,,,,
